Year,Asia,Oceania,Caribbean,Central Asia,Eastern Europe,Mediteranean Europe,Middle East,North America,Scandinavia,South America,Southeast Asia,Southern Africa,Western Europe,Canada,Mexico,South West,West,Midwest,North East,South East
1960,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
1961,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
1962,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
1963,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1966,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1967,0,1,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0
1968,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1969,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1970,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,4,0
1971,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,6,1,0
1972,2,0,0,0,0,0,0,14,0,0,0,0,9,0,0,0,6,0,8,0
1973,0,0,0,0,0,0,0,8,0,0,0,0,10,0,0,0,0,5,3,0
1974,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,3,0,5,0
1975,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,4,0,3,0
1976,0,1,0,0,0,0,0,24,0,0,0,0,10,0,0,0,9,2,12,1
1977,0,0,4,0,0,0,0,46,0,0,0,0,63,0,0,0,12,2,31,1
1978,0,1,1,0,0,0,0,53,0,0,0,0,124,0,0,0,17,4,29,1
1979,0,1,0,0,0,0,0,55,0,0,0,0,181,1,0,0,24,6,22,0
1980,0,6,5,0,1,0,0,72,0,0,0,0,199,10,0,2,21,8,27,1
1981,0,0,5,0,0,2,0,98,0,0,0,0,223,8,0,0,51,9,29,1
1982,0,10,1,0,1,3,0,116,2,0,0,0,182,2,0,8,60,11,32,0
1983,0,7,0,0,4,1,0,124,0,0,0,0,232,0,0,22,44,9,41,2
1984,0,4,0,0,0,2,0,55,5,1,0,0,198,2,0,3,28,4,14,1
1985,1,14,1,0,5,1,0,114,7,0,0,0,186,3,0,12,43,7,45,3
1986,0,10,0,0,2,2,0,149,15,0,0,0,214,0,0,11,69,16,50,1
1987,0,2,0,0,0,2,0,169,3,2,0,0,177,12,0,14,55,26,54,0
1988,0,13,0,0,0,12,0,132,11,0,0,0,212,9,0,10,51,10,47,0
1989,0,5,0,0,0,4,0,177,11,0,0,0,232,3,0,6,55,43,67,2
1990,2,19,0,0,0,5,0,218,3,1,0,0,250,5,0,3,83,34,93,0
1991,2,1,0,0,2,0,0,290,4,0,0,0,249,9,0,26,135,25,92,1
1992,3,13,0,0,8,5,0,367,19,0,0,0,262,3,0,5,172,36,125,12
1993,2,11,0,0,6,14,0,413,19,0,0,0,278,9,0,10,141,89,132,24
1994,0,23,0,0,2,8,0,547,32,3,0,0,250,15,0,22,262,62,139,35
1995,6,29,0,0,6,24,0,547,66,3,0,1,320,17,0,18,199,97,165,33
1996,7,39,0,0,2,9,0,713,37,10,0,0,330,48,0,35,287,89,180,46
1997,13,23,0,0,16,29,0,705,55,6,0,1,347,19,0,18,273,142,211,34
1998,4,26,2,0,5,9,0,668,64,0,0,0,372,37,0,13,251,107,185,43
1999,24,35,0,0,4,18,0,758,73,2,0,1,368,30,0,29,289,120,237,41
2000,7,25,0,3,24,33,0,777,85,0,0,0,497,59,0,25,284,118,210,65
2001,11,25,0,1,7,18,5,968,119,0,0,0,461,66,0,30,358,137,295,52
2002,4,26,0,0,17,31,0,1036,127,0,0,0,528,70,4,41,386,134,281,98
2003,9,46,0,0,16,49,6,1572,184,10,0,0,755,172,0,69,463,211,488,130
2004,13,95,0,2,50,37,5,1584,283,0,0,0,706,130,0,56,597,217,400,149
2005,5,88,0,0,42,37,6,1898,248,3,0,1,1017,213,1,82,609,289,528,137
2006,18,131,0,0,65,52,0,2105,295,10,0,0,1090,199,20,92,702,276,589,187
2007,27,127,0,0,30,43,2,2325,310,10,0,1,1358,287,4,99,628,326,715,211
2008,20,109,2,0,23,20,0,2137,252,3,0,11,1163,208,13,98,705,315,534,215
2009,12,85,4,0,40,37,0,2047,306,0,4,6,1120,225,3,92,716,275,524,165
2010,6,24,0,0,11,15,0,726,94,0,0,2,568,94,0,68,172,106,229,47
2011,0,0,0,0,5,0,0,90,5,0,0,0,65,2,0,14,18,10,34,9
2012,0,0,0,0,0,0,1,39,3,0,0,1,22,0,0,2,22,3,10,1
2013,0,3,0,0,3,3,0,51,3,0,0,0,43,0,0,1,11,15,24,0
2014,0,3,0,0,7,0,0,45,7,0,0,0,32,8,0,2,18,0,17,0
