Year,Asia,Oceania,Caribbean,Central Asia,Eastern Europe,Mediteranean Europe,Middle East,North America,Scandinavia,South America,Southeast Asia,Southern Africa,Western Europe,Canada,Mexico,South West,West,Midwest,North East,South East
1960,0,0,0,0,0,0,0,11,0,0,0,2,1,2,0,0,7,0,0,2
1961,0,0,4,0,0,0,0,2,0,0,0,0,4,0,0,0,1,1,0,0
1962,0,0,0,0,0,0,0,7,0,0,0,0,2,0,1,0,5,0,1,0
1963,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,7,0,2,0
1964,0,0,0,0,0,0,0,13,0,0,0,0,3,0,0,0,7,1,5,0
1965,0,0,0,0,0,1,0,17,0,0,0,0,6,0,0,0,5,5,6,0
1966,0,0,0,0,0,0,0,21,0,2,0,0,13,0,0,0,11,1,6,3
1967,0,0,0,0,0,6,0,27,1,2,0,3,12,1,0,0,17,5,2,2
1968,0,0,0,0,0,2,0,25,0,0,0,1,13,0,0,0,12,2,6,5
1969,0,0,0,0,0,1,0,6,0,0,0,0,14,0,0,0,1,2,3,0
1970,1,1,0,0,0,5,0,24,0,0,0,0,17,6,0,2,5,1,10,0
1971,0,0,0,0,0,11,0,24,0,0,0,0,17,0,0,1,6,4,13,0
1972,0,0,0,0,0,13,0,28,0,0,0,0,13,0,0,1,9,0,11,7
1973,0,0,0,0,0,9,0,15,0,0,0,1,12,0,0,0,7,2,6,0
1974,0,0,0,0,0,3,0,29,3,0,0,0,14,0,0,0,9,2,18,0
1975,0,0,0,0,0,6,0,10,0,0,0,0,12,0,0,0,4,0,6,0
1976,0,0,0,0,0,6,2,22,0,0,0,0,12,0,0,0,3,0,18,0
1977,2,0,0,0,0,5,0,27,1,0,0,0,12,0,0,1,16,0,9,1
1978,2,0,0,0,0,1,0,12,0,0,0,0,24,0,0,0,5,0,7,0
1979,0,0,0,0,0,5,0,35,2,0,0,0,22,0,0,0,29,0,4,2
1980,0,1,0,0,0,7,0,26,1,0,0,0,19,0,0,0,8,0,15,3
1981,0,0,0,0,3,8,0,18,2,0,0,0,25,0,0,3,7,0,8,0
1982,0,0,0,0,1,5,0,30,3,2,0,0,18,1,0,0,10,2,17,0
1983,2,0,0,0,0,8,0,22,2,0,0,0,18,0,0,1,1,2,17,1
1984,0,0,0,0,0,4,0,20,0,0,0,0,51,1,0,0,8,1,10,0
1985,0,0,1,0,2,3,0,28,12,0,0,0,53,3,0,0,2,1,22,0
1986,0,2,0,0,0,2,4,36,7,0,0,1,38,4,1,0,17,4,8,2
1987,0,0,0,0,0,9,0,54,5,0,0,1,99,6,0,1,15,6,23,3
1988,1,1,0,0,3,9,0,69,7,1,0,4,100,8,0,3,33,2,15,8
1989,1,5,1,0,5,8,2,116,8,0,0,3,96,7,0,0,32,20,51,6
1990,0,1,1,3,3,19,1,91,2,0,0,0,96,6,0,6,21,11,37,9
1991,0,3,1,0,0,12,0,72,6,3,0,0,108,6,0,3,33,14,7,9
1992,1,3,2,0,0,12,3,89,21,4,0,0,87,25,0,0,14,11,30,9
1993,2,5,10,5,0,10,6,138,23,0,0,1,97,19,0,6,34,15,56,7
1994,0,0,11,1,5,35,7,113,15,0,0,1,112,9,0,11,20,31,36,6
1995,3,3,0,1,11,30,0,126,46,0,0,0,120,22,1,12,36,7,31,16
1996,0,5,1,0,7,31,8,117,19,3,0,6,117,11,1,13,8,15,41,22
1997,1,15,2,0,18,47,5,129,47,0,8,0,147,20,0,8,22,16,44,19
1998,2,10,1,0,9,52,9,111,29,0,0,1,129,18,0,4,20,29,31,5
1999,1,21,3,2,4,40,8,143,37,7,0,4,174,31,0,13,34,16,30,16
2000,6,21,4,0,19,65,12,146,33,1,4,0,216,16,0,2,54,13,39,17
2001,13,18,11,0,12,51,5,170,36,3,0,0,225,29,2,18,19,20,53,26
2002,25,24,9,0,20,52,7,253,30,2,5,0,207,33,1,17,55,32,98,17
2003,10,38,3,5,11,63,30,278,80,7,0,6,338,59,0,34,41,19,67,48
2004,12,40,17,0,21,73,19,353,74,3,0,9,322,45,6,40,64,26,105,54
2005,16,48,3,0,45,106,12,370,136,5,5,1,365,61,0,27,91,40,93,53
2006,13,24,9,0,27,111,47,447,101,7,6,10,409,78,3,20,81,74,143,34
2007,11,61,26,6,53,148,20,385,128,1,13,11,487,45,4,19,107,61,101,41
2008,27,63,20,1,79,129,19,568,126,8,9,1,432,52,3,28,169,52,145,84
2009,22,63,17,5,52,97,7,409,90,8,14,2,384,56,5,51,108,26,85,63
2010,7,21,4,1,25,46,0,133,44,3,1,0,170,18,4,11,27,28,26,9
2011,10,0,5,0,9,12,6,45,2,1,0,0,21,5,0,1,9,10,16,3
2012,3,2,6,0,0,13,1,21,6,0,0,0,2,1,0,0,1,3,7,9
2013,5,1,0,0,0,3,5,25,3,1,0,1,17,3,0,0,4,3,13,1
2014,1,0,6,0,6,10,8,20,1,4,0,0,17,3,0,3,5,3,4,2
