Year,Asia,Oceania,Caribbean,Central Asia,Eastern Europe,Mediterranean Europe,Middle East,Scandinavia,South America,Southeast Asia,Southern Africa,Western Europe,Canada,Mexico,South West,West,Midwest,North East,South East
1960,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,3,4,9
1961,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2,0
1962,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,3,16,1
1963,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,19,1,12,1
1964,0,1,0,0,0,0,0,2,0,0,0,44,0,0,1,6,9,30,3
1965,0,1,0,0,0,2,0,1,0,0,0,41,0,0,15,17,3,31,0
1966,0,1,0,0,0,2,0,5,0,0,0,33,0,0,1,24,14,42,2
1967,0,0,0,0,0,6,0,1,0,0,0,70,0,0,10,54,17,22,5
1968,0,11,0,0,0,6,0,1,0,0,0,91,6,0,4,77,2,27,8
1969,0,8,0,0,0,3,0,10,0,0,0,116,3,0,8,99,18,22,10
1970,0,9,0,0,0,6,0,4,0,2,0,144,2,0,7,82,18,31,5
1971,0,0,0,0,0,3,0,7,0,0,0,122,1,0,15,96,11,19,3
1972,0,9,0,0,0,5,0,7,0,0,0,113,4,0,5,48,27,21,8
1973,0,4,0,0,0,5,0,4,0,0,0,144,1,0,7,50,20,26,16
1974,0,8,0,0,1,1,0,5,8,0,0,127,10,0,13,31,34,17,20
1975,0,1,0,0,0,2,0,4,2,2,0,133,2,0,8,32,45,29,8
1976,0,3,0,0,0,0,0,1,2,0,0,100,9,0,12,43,20,29,14
1977,0,2,0,0,0,2,0,5,0,1,0,111,12,0,4,30,24,48,16
1978,0,4,0,0,0,9,0,8,3,0,0,131,6,0,9,40,20,55,20
1979,0,6,0,0,0,0,0,3,2,0,0,101,8,0,7,36,16,12,16
1980,0,3,0,0,0,6,0,7,4,0,0,103,23,0,1,38,22,25,6
1981,0,9,0,0,0,3,0,1,2,0,0,86,18,0,7,50,15,54,5
1982,0,6,0,0,7,0,0,4,0,0,0,104,5,0,0,44,24,20,8
1983,0,4,0,0,0,1,0,5,0,0,0,78,11,0,8,30,16,29,19
1984,0,6,0,0,0,1,0,19,0,0,0,87,19,0,5,46,31,38,14
1985,1,1,0,0,1,4,0,5,0,0,0,79,7,0,3,78,10,28,12
1986,4,0,0,0,0,0,1,13,1,0,0,98,24,0,14,77,29,42,28
1987,4,11,0,0,1,6,0,20,4,0,0,118,21,3,5,81,11,41,41
1988,0,8,0,0,0,0,0,24,0,0,0,128,17,0,3,81,32,79,31
1989,5,6,0,0,15,8,0,27,1,0,0,172,11,1,23,117,34,69,44
1990,5,5,0,0,5,2,0,48,3,0,0,189,32,0,24,106,35,78,48
1991,13,8,0,0,0,0,0,47,7,0,0,174,19,0,20,120,53,95,59
1992,4,2,0,0,6,3,2,47,2,0,0,184,24,0,22,139,21,108,61
1993,4,13,2,0,9,5,0,65,5,0,0,211,23,0,7,84,58,129,68
1994,9,7,1,0,2,8,0,88,3,0,0,212,8,4,32,145,29,117,64
1995,5,4,0,0,13,5,0,62,2,1,0,211,39,0,40,140,64,152,86
1996,5,15,0,0,19,17,0,89,5,0,0,197,42,4,41,137,62,123,65
1997,12,10,1,0,12,17,0,115,6,0,1,255,21,2,24,182,46,93,100
1998,5,17,1,0,15,20,0,138,4,12,0,262,32,0,35,152,53,122,96
1999,15,5,0,0,18,47,1,152,7,8,0,278,28,1,27,138,68,145,85
2000,11,24,0,0,17,28,0,203,6,1,1,245,41,4,44,185,86,94,114
2001,10,18,1,0,22,11,4,212,7,1,0,289,53,0,41,216,74,152,149
2002,8,32,0,0,33,30,0,204,5,2,0,352,33,2,44,215,138,149,87
2003,10,20,4,0,30,52,5,239,10,4,0,321,49,9,49,279,79,178,156
2004,18,27,0,0,43,42,18,274,12,6,0,350,64,1,83,238,88,178,136
2005,28,36,1,0,36,41,11,302,13,9,0,450,92,0,54,338,164,219,175
2006,29,46,7,0,70,54,34,355,10,12,0,499,87,1,95,381,173,271,201
2007,50,53,0,0,28,33,32,371,15,8,2,582,55,0,104,363,114,312,199
2008,18,31,7,0,43,32,2,341,20,4,3,485,105,4,74,350,108,196,164
2009,43,27,0,0,11,31,5,246,15,1,0,451,96,3,73,295,129,222,282
2010,7,22,0,0,18,6,13,114,1,1,0,222,29,2,31,175,31,113,88
2011,1,5,0,0,13,0,0,14,0,0,0,76,9,1,1,25,11,9,17
2012,3,1,0,0,0,7,0,12,0,0,0,38,3,0,0,16,5,16,13
2013,3,0,0,5,0,7,0,11,0,0,0,44,3,0,3,15,3,12,7
2014,1,2,0,0,0,0,0,18,0,0,0,35,2,0,6,10,2,18,5
