Year,Songs,Duration,Loudness,Tempo,Hotness
1960,23,2:39,-10.83,133,0.45
1961,6,2:27,-9.67,138.33,0.49
1962,27,2:29,-9.70,120.41,0.57
1963,37,2:22,-9.76,126.24,0.49
1964,96,2:43,-10.93,119.21,0.51
1965,111,2:42,-9.77,121.34,0.51
1966,131,2:43,-10.36,120.54,0.49
1967,185,3:14,-11.03,119.05,0.48
1968,246,3:33,-11.37,115.82,0.46
1969,303,3:41,-11.66,120.94,0.48
1970,320,4:07,-12.12,125.94,0.48
1971,299,4:06,-11.55,125.81,0.47
1972,267,4:10,-11.30,124.53,0.47
1973,294,4:16,-11.71,125.83,0.46
1974,278,4:11,-10.83,127.81,0.48
1975,271,4:03,-11.22,125.25,0.47
1976,246,4:06,-10.70,122.58,0.46
1977,266,4:11,-10.70,124.95,0.45
1978,310,4:14,-10.58,126.70,0.46
1979,226,3:57,-10.36,127.42,0.49
1980,242,4:11,-10.47,125.82,0.47
1981,265,4:04,-10.64,128.26,0.45
1982,240,4:14,-10.03,127.73,0.47
1983,238,3:52,-9.48,134.70,0.48
1984,285,4:00,-10.42,127.64,0.47
1985,241,4:06,-9.56,126.94,0.50
1986,382,4:03,-9.37,128.08,0.49
1987,407,3:56,-9.86,130.70,0.50
1988,429,4:06,-10.05,127.93,0.49
1989,586,4:03,-10.23,125.95,0.47
1990,631,4:06,-9.74,131.19,0.47
1991,660,4:11,-9.86,128.10,0.48
1992,674,4:20,-9.57,126.61,0.48
1993,762,4:20,-9.59,128.70,0.47
1994,821,4:12,-9.33,127.52,0.46
1995,916,4:11,-9.04,129.30,0.47
1996,932,4:07,-8.83,128.61,0.48
1997,1034,4:19,-8.16,129.70,0.46
1998,1154,4:14,-8.04,131.38,0.46
1999,1268,4:15,-7.77,126.35,0.46
2000,1412,4:06,-7.38,127.08,0.46
2001,1558,4:15,-7.44,129.71,0.47
2002,1742,4:14,-7.18,127.63,0.46
2003,1902,4:10,-7.28,128.27,0.48
2004,2147,4:15,-6.87,129.20,0.48
2005,2961,4:08,-7.08,128.24,0.46
2006,3613,4:07,-7.25,127.79,0.45
2007,3476,4:12,-6.77,128.47,0.48
2008,3115,4:10,-6.73,128.97,0.48
2009,3180,4:04,-6.96,128.67,0.47
2010,1339,4:15,-6.63,127.65,0.48
2011,261,4:09,-7.55,134.71,0.43
2012,165,4:00,-8.98,126.75,0.37
2013,164,3:54,-9.25,129.03,0.39
2014,151,4:07,-7.89,131.47,0.40
