Year,Songs,Duration,Loudness,Hotness,Tempo
1960,14,157.25,-17.31,0.46,126.27
1961,11,166.49,-15.93,0.42,119.15
1962,11,212.87,-13.63,0.39,123.91
1963,10,165.63,-16.80,0.41,105.38
1964,16,151.89,-14.42,0.52,112.29
1965,24,171.05,-12.41,0.46,130.81
1966,37,163.96,-12.14,0.47,122.52
1967,60,170.00,-13.24,0.42,123.29
1968,54,184.01,-12.14,0.45,117.07
1969,24,201.09,-11.94,0.39,115.47
1970,55,236.94,-11.88,0.47,117.80
1971,57,205.84,-13.98,0.39,127.88
1972,58,188.77,-13.61,0.43,120.65
1973,44,223.51,-12.16,0.40,117.77
1974,55,241.64,-12.56,0.41,124.37
1975,34,239.82,-12.66,0.44,125.35
1976,49,267.25,-12.28,0.43,116.61
1977,50,234.08,-12.40,0.45,124.68
1978,49,230.18,-12.40,0.44,119.33
1979,73,236.10,-13.33,0.42,118.04
1980,58,221.99,-11.97,0.45,123.61
1981,68,230.30,-13.10,0.42,125.50
1982,76,240.54,-12.05,0.44,124.83
1983,61,235.65,-12.38,0.43,127.78
1984,83,241.32,-11.88,0.46,123.21
1985,104,258.50,-11.40,0.45,123.44
1986,98,238.21,-12.19,0.44,118.19
1987,179,245.54,-12.47,0.45,117.41
1988,216,227.01,-12.13,0.42,119.38
1989,266,248.53,-13.05,0.41,119.40
1990,239,247.61,-12.71,0.42,116.80
1991,250,246.75,-12.77,0.43,118.46
1992,243,235.68,-12.67,0.42,116.12
1993,339,241.04,-12.07,0.42,116.92
1994,346,248.54,-11.70,0.39,119.52
1995,380,241.86,-11.02,0.42,117.53
1996,371,238.50,-10.94,0.42,120.05
1997,478,250.59,-10.35,0.43,117.05
1998,429,243.71,-9.45,0.43,122.99
1999,507,247.44,-9.73,0.44,120.97
2000,618,251.03,-8.84,0.44,121.49
2001,664,244.09,-9.13,0.44,122.18
2002,783,247.73,-9.61,0.45,121.33
2003,1026,242.11,-9.07,0.45,119.50
2004,1105,238.43,-9.11,0.45,117.36
2005,1386,239.09,-9.20,0.44,121.39
2006,1566,238.37,-8.84,0.42,122.33
2007,1720,236.52,-8.63,0.45,119.69
2008,1949,229.96,-8.77,0.44,121.05
2009,1611,232.00,-8.20,0.46,122.16
2010,686,235.88,-9.04,0.44,123.25
2011,147,199.59,-11.10,0.36,119.87
2012,71,222.53,-12.32,0.35,112.80
2013,79,231.51,-11.40,0.39,122.01
2014,112,242.31,-9.69,0.33,119.89
2015,1,227.66,-13.95,0.51,223.39
