Year,Experimental Rock,Skate Punk,Pop Punk,New Wave Rock,Alternative Singer-Songwriter,Lo-Fi,Post-Modern Art Music,Post-Modern Electronic Pop,Paisley Underground,Brit Pop,Classic Pop Punk,Noise Rock,Modern Ska,Funk Metal,Goth,Grunge,Neo-Psychedelic,Surf Revival,Riot Grrrl,Math Rock,Rockabilly Revival,Old School Punk,Art & Synth Punk,Synth Pop,Hardcore,No Wave,Ska Punk,Outsider Music,Pre-Punk,General Indie Rock,Emo,Swing Revival,Slowcore,Post-Punk Revival,Garage Rock Revival,Alternative Folk,Chamber Pop,Alternative Pop,Alternative Rock,Alternative Dance,Madchester,Industrial,Brit Rock,New Wave Pop,Jangle Pop,General Punk,Dream Pop,Noise Pop,Original Post-Punk,Hardcore Punk,Neo-Glam,Post-Rock,New Romantic,Indie Pop,Twee Pop,Shoegazer,Two-Tone Ska Revival
1970,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0
1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
1974,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0
1975,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,2,1,0,0,0
1977,1,0,0,40,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,24,0,1,0,5,0,0,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,11,0,0,0,0,8,1,0,0,6,0,0,0,0
1978,0,0,0,48,3,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,32,2,8,0,4,0,0,5,0,0,0,0,1,0,0,0,0,5,0,0,11,0,13,0,1,0,0,17,0,0,0,12,1,0,0,0
1979,0,0,0,49,1,0,0,0,0,0,26,0,1,0,0,0,0,0,0,0,3,45,0,14,0,7,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,2,0,40,0,5,0,0,55,1,0,0,7,0,0,0,5
