Year,General Indian Pop,Chanson,Nostalgia Vocals,Cocktail Music,Kayoukyoku,Indonesian Pop,Mediterranean Pop,Lounge,French Pop,Schlager & Volksmusik,Indian Film Pop,Central Asian Pop,Malaysian Pop,Persian Pop,Philippine Pop,Teen Boy Band,Other Pop,Pops Polka,J-Pop,Ballade,Classic Male Vocal Pop,K-Pop,Liedermacher,Dutch Pop,Pop Vocal,Pakistani Pop,Classic Female Vocal Pop,Afrikaans,Show Tunes,Karaoke,Turkish Pop,Japanese New Traditional,General Chinese Pop,Urban Crossover: Pop,Eastern European Pop,Other Easy Listening,Exotica,German Pop,Singer-Songwriter,Japanese Contemporary Folk,World Pop Fusion,Caribbean Pop,Other African Pop,South African Pop,Pop Choral,Teen Pop,Adult Contemporary,Space Age Bachelor Pad,Arabic Pop,Pops Dance,Euro Pop,Thai Pop,Other K-Pop,Teen Girl Group,Israeli Pop,West African Pop,Canto-Pop,Adult Alternative Pop,Dance Pop,Early Pop Vocals,Folk Pop
1970,0,2,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,11
1971,0,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,7,0,1,0,0,0,0,0,0,0,0,1,0,0,7,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21
1972,0,1,0,1,0,0,13,0,5,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1973,0,0,0,1,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1974,0,0,0,0,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
1975,0,2,0,0,0,0,8,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1976,0,0,0,0,0,0,6,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,1,2,0,0,0,0,2,0,0,19,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1977,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,21,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,2
1978,0,0,0,0,0,0,1,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,2,0,0,0,10
1979,0,7,0,4,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0
1980,0,4,0,0,0,0,7,0,5,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,1,17,0,1,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,1,0,0,0,5
1981,0,0,0,0,0,0,9,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,4,0,0,1,13,0,6,0,0,0,0,0,12,0,0,0,2,0,0,0,0,4,0,0,0,0,5
1982,0,0,0,4,0,0,1,0,2,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,0,0,1,3,0,1,12,0,1,0,0,0,0,0,14,0,0,0,4,0,0,0,0,1,0,0,6,0,4
1983,0,7,0,0,0,0,9,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,0,0,2,0,1,13,0,1,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,1,1,0,1
1984,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,3,8,5,0,1,0,0,0,0,0,0,1,0,4,0,0,15,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,3,0,11,4,0,2
1985,0,2,1,0,0,0,3,0,12,8,0,0,0,0,0,0,6,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,2,1,0,2,14,0,0,1,0,0,0,0,12,0,0,0,9,0,0,0,0,2,0,10,15,0,4
1986,0,3,0,0,0,0,2,0,5,6,0,0,0,0,0,2,3,0,1,0,4,0,2,0,7,0,0,0,0,0,4,0,0,0,0,2,0,0,7,0,2,0,0,2,0,1,28,0,0,0,6,0,0,0,0,0,0,9,15,0,1
