Country,Rank,KEI,KI,Economic,Innovation,Education,ICT,Business
Albania,82,4.53,4.48,4.69,3.37,4.81,5.26,9.6875
Algeria,96,3.79,4.28,2.33,3.54,5.27,4.04,8.263888889
Angola,142,1.08,0.95,1.48,1.17,0.32,1.38,5.416666667
Argentina,63,5.43,6.54,2.09,6.9,6.36,6.38,8.263888889
Armenia,71,5.08,4.84,5.8,4.21,6.96,3.35,9.722222222
Aruba,53,5.89,4.97,8.63,3.52,5.96,5.44,0
Australia,9,8.88,8.98,8.56,8.92,9.71,8.32,9.826388889
Austria,17,8.61,8.39,9.26,8.87,7.33,8.97,8.263888889
Azerbaijan,79,4.56,4.96,3.36,4.01,5.95,4.93,9.513888889
Bahrain,43,6.9,6.98,6.69,4.61,6.78,9.54,9.375
Bangladesh,136,1.49,1.48,1.51,1.69,1.75,1.01,9.270833333
Barbados,41,7.18,7.92,4.96,7.62,7.27,8.87,8.75
Belarus,59,5.59,6.62,2.5,5.7,7.37,6.79,9.375
Belgium,15,8.71,8.68,8.79,9.06,8.57,8.42,9.722222222
Benin,124,1.88,1.79,2.15,2.8,1.1,1.47,8.958333333
Bolivia,100,3.68,4.2,2.11,3.31,5.49,3.8,6.597222222
Bosnia and Herzegovina,70,5.12,4.97,5.55,4.38,5.77,4.77,7.430555556
Botswana,85,4.31,3.81,5.82,4.26,3.92,3.23,5.833333333
Brazil,60,5.58,6.05,4.17,6.31,5.61,6.24,2.534722222
Bulgaria,45,6.8,6.61,7.35,6.94,6.25,6.66,8.75
Burkina Faso,123,1.91,1.06,4.46,2.14,0.28,0.76,9.097222222
Cambodia,131,1.71,1.52,2.28,2.13,1.7,0.74,2.777777778
Cameroon,132,1.69,1.85,1.21,2.61,1.39,1.56,8.958333333
Canada,7,8.92,8.72,9.52,9.32,8.61,8.23,9.652777778
Chile,40,7.21,6.61,9.01,6.93,6.83,6.05,9.618055556
China,84,4.37,4.57,3.79,5.99,3.93,3.79,7.708333333
Colombia,76,4.94,5.18,4.25,4.68,5.28,5.57,8.958333333
Costa Rica,51,5.93,5.65,6.76,6.19,5.43,5.34,8.333333333
Cote d'Ivoire,135,1.54,1.54,1.53,1.62,0.91,2.09,9.444444444
Croatia,39,7.29,7.27,7.35,7.66,6.15,8,9.444444444
Cuba,87,4.19,5.1,1.44,5.05,7.93,2.34,0
Cyprus,35,7.56,7.5,7.71,7.71,7.23,7.57,9.444444444
Czech Republic,26,8.14,8,8.53,7.9,8.15,7.96,8.645833333
Denmark,3,9.16,9,9.63,9.49,8.63,8.88,9.618055556
Djibouti,138,1.34,1.17,1.85,1.44,0.73,1.33,8.819444444
Dominica,61,5.56,5.5,5.73,4.38,4.87,7.25,9.166666667
Dominican Republic,90,4.05,4.08,3.96,3.56,3.89,4.79,8.715277778
Ecuador,98,3.72,4.38,1.74,3.95,4.47,4.72,6.145833333
"Egypt, Arab Rep.",97,3.78,3.54,4.5,4.11,3.37,3.12,9.444444444
El Salvador,88,4.17,3.88,5.05,3.1,3.53,5,8.854166667
Eritrea,141,1.14,1.21,0.93,1.89,0.69,1.05,4.166666667
Estonia,19,8.4,8.26,8.81,7.75,8.6,8.44,9.548611111
Ethiopia,139,1.27,1.17,1.56,1.85,1.05,0.62,8.958333333
Fiji,93,3.94,4.6,1.96,4.65,5.27,3.87,5.902777778
Finland,2,9.33,9.22,9.65,9.66,8.77,9.22,9.027777778
France,24,8.21,8.36,7.76,8.66,8.26,8.16,9.548611111
Georgia,68,5.19,4.49,7.28,5.15,4.61,3.72,9.861111111
